Treatment,ID,Diameter,Height,nodes,flowers,branches,2flowers,,,,,,,,,
Wet,3219,3.14,35,15,10,4,0,,,,,,,,,
Wet,2781,3.78,35,11,6,3,0,,,,,,,,,
Wet,3117,3.81,35,12,11,9,0,,,,,,,,,
Dry,2895,3.84,35,15,8,11,0,,,,,,,,,
Dry,2547,4.11,35,18,3,24,0,,,,,,,,,
Dry,2304,4.41,35,18,9,9,8,,,,,,,,,
Wet,2961,3.07,35.1,12,6,5,0,,,,,,,,,
Wet,2586,4.92,35.2,15,6,12,5,,,,,,,,,
Dry,2058,5.31,35.2,21,13,11,1,,,,,,,,,
Dry,2487,4.34,35.3,16,6,9,9,,,,,,,,,
Dry,2481,5.42,35.3,12,3,18,10,,,,,,,,,
Dry,2499,5.75,35.3,19,10,19,0,,,,,,,,,
Dry,2838,2.41,35.4,13,6,2,0,,,,,,,,,
Wet,2817,3.28,35.4,11,9,16,1,,,,,29.8,12,6,2,0
Dry,3114,3.33,35.5,16,5,4,0,,,,,,,,,
Dry,2886,4.24,35.5,17,10,2,0,,,,,,,,,
Dry,3327,3.16,35.6,14,8,4,0,,,,,,,,,
Dry,3369,3.31,35.7,13,6,9,0,,,,,,,,,
Dry,3402,3.51,35.7,16,8,7,0,,,,,,,,,
Dry,2784,2.76,35.8,14,4,3,0,,,,,,,,,
Dry,2409,3.64,35.8,15,7,11,0,,,,,,,,,
Dry,2541,3.72,35.9,13,6,7,0,,,,,,,,,
Dry,2379,4.85,35.9,17,6,16,3,,,,,,,,,
Dry,3276,2.88,36,12,6,7,0,,,,,,,,,
Wet,3063,2.89,36,13,10,13,0,,,,,,,,,
Wet,2946,3.05,36,13,8,2,0,,,,,,,,,
Dry,2472,3.55,36,15,10,7,4,,,,,,,,,
Dry,3435,3.77,36,15,11,15,14,,,,,,,,,
Wet,2991,3.9,36,13,9,15,0,,,,,,,,,
Dry,2268,4.4,36,16,6,16,4,,,,,,,,,
Dry,2526,5.06,36,15,7,8,0,,,,,,,,,
Dry,2112,2.68,36.1,12,10,0,0,,,,,,,,,
Dry,3147,3.02,36.2,13,6,2,0,,,,,,,,,
Dry,3321,3.33,36.3,14,7,2,0,,,,,,,,,
Dry,3189,2.71,36.4,14,5,6,0,,,,,,,,,
Dry,2985,3,36.4,15,12,13,3,,,,,,,,,
