Generation,Timeline,Parental,ID,Placement,Tray,Treatment,Viable,Aborted,Percent_viable,,,,,,
S1,39A,W,1068,17,5,dry,,,#DIV/0!,,,,,,
S1,166,D,1161,18,5,dry,269,39,0.8733766234,,,,,,
S1,170,W,1168,1,6,dry,295,17,0.9455128205,,,,,,
S1,374,W,1228,2,6,dry,294,64,0.8212290503,,,,,,
S1,371,W,1211,3,6,dry,267,35,0.8841059603,,,,,,
S1,164,D,1154,4,6,dry,389,34,0.9196217494,,,,,,
S1,3,W,1007,5,6,dry,299,13,0.9583333333,,,,,,
S1,37,D,1059,6,6,dry,367,41,0.8995098039,,,,,,
S1,35,W,1050,7,6,dry,174,152,0.5337423313,,,,,,
S1,154,W,1138,8,6,dry,272,28,0.9066666667,,,,,,
S1,39A,D,1069,9,6,dry,,,#DIV/0!,,,,,,
S1,54,W,1108,10,6,dry,304,7,0.9774919614,,,,,,
S1,35,W,1049,11,6,dry,222,258,0.4625,,,,,,
S1,373,W,1223,12,6,dry,322,38,0.8944444444,,,,,,
S1,28,W,1032,13,6,dry,300,14,0.9554140127,,,,,,
S1,152,D,1130,14,6,dry,299,18,0.9432176656,,,,,,
S1,41,D,1089,15,6,dry,287,14,0.9534883721,,,,,,
S1,154,D,1143,16,6,dry,202,100,0.6688741722,,,,,,
S1,49,W,1092,17,6,dry,285,26,0.9163987138,,,,,,
S1,6,W,1019,18,6,dry,308,29,0.9139465875,,,,,,
S1,37,D,1057,1,7,dry,316,2,0.9937106918,,,,,,
S1,7,W,1024,2,7,dry,250,41,0.8591065292,,,,,,
S1,51,D,1100,3,7,dry,304,84,0.7835051546,,,,,,
S1,343,W,1187,4,7,dry,289,15,0.9506578947,,,,,,
S1,39B,W,1074,5,7,dry,261,88,0.7478510029,,,,,,
S1,41,D,1087,6,7,dry,303,8,0.9742765273,,,,,,
S1,52,D,1105,7,7,dry,250,255,0.495049505,,"Nothing was written here though, even tho DF was written here",,,,
S1,38,D,1063,8,7,dry,303,1,0.9967105263,,,,,,
S1,371,D,1214,9,7,dry,250,47,0.8417508418,,,,,,
S1,39A,D,1070,10,7,dry,312,3,0.9904761905,,,,,,
S1,54,D,1113,11,7,dry,,,#DIV/0!,,Didn't develop past tetrad,,,,
S1,6,D,1023,12,7,dry,289,13,0.9569536424,,,,,,
