"","ID","Treatment","Tray","Placement","Flowering_date","avg_germ","FT","Sow_date","FD","days_to_germ","Rep","S0_ID","Name","Site","Year","Generation","Region","PrePeak","S1_ID","S0_trt","S1_trt","TRTHIS"
"136",2100,"Wet",12,13,"26-Jan","11-Nov","76","29-Oct","89","13.33333333","2","4","Sweetwater","S02",2010,"S0","South","Pre",1016,"D","W","DW"
"137",2102,"Dry",26,17,"Oct-28","Aug-22","67","Aug-15","74","7.666666667","1","4","Sweetwater","S02",2010,"S0","South","Pre",1017,"D","D","DD"
"138",2102,"Wet",26,17,"Nov-23","Aug-22","93","Aug-15","100","7.666666667","1","4","Sweetwater","S02",2010,"S0","South","Pre",1017,"D","D","DD"
"139",2103,"Dry",26,17,"17-Jan","04-Nov","74","29-Oct","80","6.333333333","2","4","Sweetwater","S02",2010,"S0","South","Pre",1017,"D","D","DD"
"140",2103,"Wet",26,17,"22-Jan","04-Nov","79","29-Oct","85","6.333333333","2","4","Sweetwater","S02",2010,"S0","South","Pre",1017,"D","D","DD"
"141",2105,"Dry",16,4,"Oct-30","Aug-23","68","Aug-15","76","8.333333333","1","4","Sweetwater","S02",2010,"S0","South","Pre",1017,"D","W","DW"
"142",2105,"Wet",16,4,"Nov-5","Aug-23","74","Aug-15","82","8.333333333","1","4","Sweetwater","S02",2010,"S0","South","Pre",1017,"D","W","DW"
"143",2106,"Wet",27,9,"13-Jan","03-Nov","71","29-Oct","76","5.666666667","2","4","Sweetwater","S02",2010,"S0","South","Pre",1017,"D","W","DW"
"144",2106,"Dry",27,9,"11-Jan","03-Nov","69","29-Oct","74","5.666666667","2","4","Sweetwater","S02",2010,"S0","South","Pre",1017,"D","W","DW"
"145",2108,"Wet",8,18,"Nov-4","Aug-22","74","Aug-15","81","7.333333333","1","6","Sweetwater","S02",2010,"S0","South","Pre",1018,"W","D","WD"
"146",2108,"Dry",8,18,"Oct-28","Aug-22","67","Aug-15","74","7.333333333","1","6","Sweetwater","S02",2010,"S0","South","Pre",1018,"W","D","WD"
"147",2109,"Dry",24,17,NA,"02-Nov","#VALUE!","29-Oct","#VALUE!","4.666666667","2","6","Sweetwater","S02",2010,"S0","South","Pre",1018,"W","D","WD"
